Programs Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STEM,STEM,STEM,STEM,STEM,STEM,STEM,Life Skills,Life Skills,Life Skills,Life Skills,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Performance,Performance,Performance,Media Arts,Media Arts,Media Arts,Media Arts,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Music,Music,Music,Music,Kindergarten,Kindergarten,Kindergarten,Kindergarten,Kindergarten
Body,"Extra Ed is proud to be a TDSB Educational Partner. We deliver two curriculum-based programs, in-class during instructional time: Financial Literacy and Chess for STEM/SEL. Learn more>",Please reach us at (416) 953 1955 or info@extraed.ca,"Guided by specific outcomes across the curriculum streams, we provide unique and innovative activities in the classroom which are designed to promote the understanding of curriculum topics in meaningful and memorable ways.",Please reach Bliss at (416) 402 1433 or bliss@extraed.ca,"- Kindergarten Arts & Crafts [link]
- Kindergarten Chess [link]
- Kindergarten Drama [link]
- Kindergarten Music [link]",Please reach Bliss at (416) 402 1433 or bliss@extraed.ca,"Extra Ed has no shortage of exciting programming: from chess club to musical theatre, from LEGO to magic, we are sure to find just the right complement to your camp or childcare centre. Operating programs for children of all ages, we adapt our content to a broad diversity of skills, ages and interests. For information on all our specific offerings please visit any of our individual subject pages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Programs for camps and childcare centres.,Program subjects.,Instructors.,Programs.,Instructors.,Instructors.,Instructors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Delivered on-site and tailored to each organization’s specific needs, this offering is designed to provide delightful and rewarding experiences that complement existing camp or childcare programming. Learn more>","In-Class Enrichment is available in all the subjects we instruct. Dependent on grade level, we tailor each subject to a diversity of skills, interests and learning outcomes. Popular choices of programs include financial literacy[link], chess[link], coding[link], short video creation[link], robotics[link], mixed media[link] and comic book art[link]. For information on specific subjects please browse our individual subject pages.","Extra Ed’s programs are led by a wonderful team of experienced and certified instructors and assistants. Our team includes educators, musicians, chess masters, artists, and more—each of whom brings knowledge, expertise, and great enthusiasm for working with children of all ages.","Extra Ed has no shortage of exciting programming: from robotics[link] to musical theatre[link], from LEGO[link] to magic[link], we are sure to find just the right fit for any school. We operate programs for children of all ages, tailoring our content to a broad diversity of skills, ages and interests. For information on all our specific offerings please visit any of our individual subject pages.","Extra Ed’s kindergarten programs are led by experienced, thoughtful instructors and assistants. Our team includes educators, musicians, chess masters, artists, and more—all of whom offer caring tutelage to our youngest participants while fostering safe and nurturing environments.","Extra Ed’s programs are led by a wonderful group of experienced and certified instructors and assistants. Our team includes educators, musicians, chess masters, artists and more each of whom brings knowledge, experience and great enthusiasm.","Extra Ed’s programs are led by a wonderful team of experienced and certified instructors and assistants. Our team includes educators, musicians, chess masters, artists, and more— each of whom brings knowledge, expertise, and great enthusiasm for working with children of all ages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Private and small group tutoring.,Instructors.,Administration.,Instructors.,Safety and care.,Equipment and Supplies.,Administration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"With one-on-one, small group, online, and private-venue delivery, we provide a variety of tutoring options both as educational support and to further development of special interests. Learn more>","Extra Ed’s programs are led by a wonderful team of experienced and certified instructors and assistants. Our team includes educators, musicians, chess masters, artists, and more—each of whom brings knowledge, expertise and great enthusiasm for working with students of all ages.","We make it easy. All Extra Ed programs are straightforward to implement and low-maintenance to operate. Working directly with teachers and school admin, we create programs that fit their needs and schedule—with minimal administrative requirements.","Extra Ed’s programs are lead by a wonderful team of experienced and certified instructors and assistants. Our team includes educators, musicians, chess masters, artists, and more—each of whom brings knowledge, expertise, and great enthusiasm for working with children of all ages.","Our clubs are staffed by experienced instructors, assistants and floaters. They follow policies to ensure our students are always happy, safe, well-attended to, and accounted for. Our team coordinates with school administration to ensure smooth transitions between class, clubs and dismissals—in strict adherence with school policies.","We always provide all necessary equIpment and supplies for our events—be they chess sets, arts and crafts materials, acoustic guitars, LEGO robotics, or anything else we need to craft a great experience.",As a full-service provider we make administration easy. All Extra Ed programs are straightforward to implement and low-maintenance to operate. We take care of all the necessities—so you don’t have to.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Birthdays and special events.,Administration.,Equipment and Supplies.,Safety and care.,Administration.,,Equipment and Supplies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"With entertaining (and portable) activities such as magic[link], art[link], chess[link] and robotics[link], Extra Ed can add a memorable touch to any birthday party, community event, or corporate team-building exercise. Learn more>","We make it easy. All Extra Ed programs are straightforward to implement and low-maintenance to operate. Working directly with teachers and school admin, we create programs that fit their needs and schedule—with minimal administrative requirements.",We provide everything necessary to run our TDSB Partnership Programs.,"Our school clubs are staffed by experienced instructors, assistants and floaters. They follow policies to ensure our students are always happy, safe, well-attended to, and accounted for. Our team coordinates with school administration to ensure smooth transitions between class, clubs and dismissals—in strict adherence with school policies.",As a full-service provider we make administration easy. All Extra Ed programs are straightforward to implement and low-maintenance to operate. We take care of all the necessities—so you don’t have to.,,"We always provide all necessary equipment and supplies for our programs—be they chess sets, drawing and painting materials, acoustic guitars, LEGO robotics, or anything else we need to craft a great experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,,,,Administration.,Equipment and Supplies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,,,,As a full-service provider we make administration easy. All Extra Ed programs are straightforward to implement and low-maintenance to operate. We take care of all the necessities—so you don’t have to.,"We always provide all necessary equipment and supplies for these programs—be they chess sets, craft materials, musical instruments, LEGO sets, or anything else we need to craft a great experience.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,/donate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Donate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Title,"Intrinsic to our values at Extra Ed is the conviction that all children should be given opportunities for inclusion, education, and growth—regardless of a family’s economic situation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Extra Ed supports this conviction both through its economic inclusivity [link] policies and with the help of its own charitable entity, the Jacques Katz Fund. This fund has made it possible for our community of donors to join us in providing students and families access to educational programming when these opportunities would be otherwise out-of-reach.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Tax receipts are available for all donations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtitle,How donations to Extra Ed’s Jacques Katz Fund are used:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtitle,1. We fund In-Class Enrichment programming for schools that have limited extracurricular budgets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,2. We fund Lunch and After School Clubs where the contributions of participant families fall far short of making these programs feasible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Funding for In-Class Enrichment programs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"We do all we can to provide flexible program fees for schools whose dwindling budgets are stretched too thin. All too often, there are occasions when a school’s budget for any programming is nearly non-existent. In these situations the Jacques Katz Fund can step in to cover most, if not all, of the program costs to ensure those schools get the same access to programs enjoyed by those in better financial positions.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Unfortunately, there are occasions when a school’s budget for extracurricular programming is nearly non-existent. In these situations the Jacques Katz Fund can step in to cover most, if not all, of the program costs to ensure those schools get the same access to programs enjoyed by those in better financial circumstances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Since the launch of our fund your contributions have supported over 100 in-class programs; over 500 classes and sessions; and served more than 2,000 kids.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Funding for Lunch and After-School Clubs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"When registering for any of our clubs, parents have the option to pay less than the asking price—or even nothing at all—with no questions asked. Over the past two years alone, we have proudly subsidized fees for over 8,000 kids!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"However, there are occasions when the economic constraints within a school or community require such large fee subsidies that we cannot feasibly support their programs. In these cases we are faced with that hard decision not to run these programs at all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"Fortunately, the Jacques Katz Fund has given us the ability to supplement Lunch and After-School clubs in select schools where they would otherwise be untenable–bringing entire programs back from the brink of cancellation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"To date, our fund has successfully supported over 40 Lunch and After-School programs that we would not have otherwise been able to, allowing over 500 students to enjoy our coding [link], chess [link], magic [link], art [link] and science [link] clubs. Our goal this year is to double these numbers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,How your donations are spent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"For every dollar you donate, here is how the funds are allocated:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Please note that the 25% allocated to materials, admin, and permits does not always cover these expenses. However, in order to stretch donated funds as far as they can go Extra Ed absorbs any and all excess costs when they occur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Please give to the Jacques Katz Fund today.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"Join us in providing enriching educational and social experiences for children who would otherwise not have access to these types of programs, while also giving a boost to parents struggling to access child care and other opportunities for their kids. Everyone wins!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"If you wish to earmark your donations to go to a particular school or community, please let us know.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,416-953-1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,donate@extraed.ca [mailto: link],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Tax receipts are available for all donations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtitle,History of the Jacques Katz Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"Established in 2018, the Fund was set up in honour of Jacques Katz, an exceptional educator who made important early contributions to Extra Ed. He was also a caring husband, father, and a standout member of his community.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Jacques passed away in 2017 after a long fight with multiple myeloma. The following year, we established the Jacques Katz Memorial Scholarship Fund in large part to honour Jacques’s strong belief that every child should be given the opportunity to succeed, regardless of economic circumstances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"To date, the Jacques Katz Memorial Scholarship Fund has supported thousands of students and families, giving them access to educational programming that would otherwise have been out of reach financially. Results that Jacques would be proud of.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Your donations ensure that we extend our radius to include children and families who would benefit greatly from the learning, social engagement, and sense of purpose that our courses inspire and that otherwise would not have been available to them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Letter from our founder about Jacques.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"I first met Jacques around 2010.  He was a teacher then, at Queen Victoria Public School (since re-named Dr Rita Cox-Kina Minagok Public School) and he needed some support for the chess team he was coaching.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sponsor and partner:,"There were a couple of minor issues.  First, he had a miniscule budget; and second, he wasn’t a very good chess player.  In fact, many of the kids he was “coaching” were far better than he was.  Jacques was well aware that he wasn’t much more than a staff sponsor, but that didn’t stop him.  He saw that these kids were passionate about the game, and he was determined to give them every opportunity to play and develop.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"I wasn’t able to support him with much more than a few tutorials and some coaching tips, but he gratefully accepted it and took that team to the TDSB’s inter-school chess tournament anyway.  They performed well – better than many schools that had considerably more funding.  Moreover, his efforts sparked a wider interest in chess at the school, which eventually led to Jacques attracting outside organizations to deliver fully-funded, in-class programs for all the kids in the lower grades.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Over the next few years, Jacques and I remained casual acquaintances.  I ran into him from time to time at the TDSB Tournaments, or at the Annex Chess Club, which I helped found.  He joined in hopes of improving his game, and started playing there regularly.  He would ask me for the odd game, but I was either too busy helping run the club, or, more often, I would brush him off and tell him that I thought he played too slowly for my taste, and that we were at different levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"If I’m perfectly honest, I found Jacques to be a bit quirky in those first few years.  Maybe a bit too cerebral.  Jacques had multiple advanced degrees in highly theoretical subjects, and a bit of a “mad scientist” way about him.  But over time, I grew to appreciate that quirkiness and many of those qualities, and we became friends who got together for the odd drink, sharing experiences in education, in chess, and in life.  When I got married in January of 2014, we had become close enough that I invited him and his wife Ophira to our wedding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Around the time that I started Extra Ed in 2015, Jacques shared some terrible news with me.  He had been diagnosed with multiple myeloma, a rare form of cancer.  Even the most optimistic diagnoses were dim.  He didn’t have much time left to live.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"He was obviously shocked, and heartbroken.  And scared.  Jacques had a really great life set up for himself, and everything in the world to look forward to.  He was happily married, and had a wonderful son named Jonah that he adored.  He was close with his parents, particularly his mother Yvonne, and was also close with his brother Oren and his sister Maggie and all of their wonderful children.  He had a wide network of friends and connections through his many interests.  And he loved his job teaching.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"As his treatments weakened his immune system more and more, he wasn’t able to continue in the classroom, either as a teacher or even as a volunteer.  This really devastated him.  But rather than sit in solitude and feel sorry for himself, he approached me and asked if he could help with my financial literacy curriculum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"For some context, when I started Extra Ed, it was as an organization teaching financial literacy in elementary schools.  Although today financial literacy has become part of the Ontario curriculum, back then, there was very little of it taught, especially at the elementary school level.  I had a vision of making a subject like financial literacy interesting and fun for kids, and had created a curriculum that was very well received by students, parents, and educators at the handful of schools I was running in.  Although I didn’t think I needed much help, I welcomed Jacques with open arms.  And when he got involved, I quickly came to realize how incredibly gifted he was.  He put that mad scientist brain of his to work and helped turn what I had created into something with much more polish – the kind of polish that eventually got Extra Ed approved as a TDSB Educational Partner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Working with Jacques was a real gift.  I learned a lot from him – including how much I needed to learn.  During that window of time – from around the spring of 2016 until the spring of 2017 – we spoke almost every day.  Not just about the work we were doing together, but about financial literacy, and about what was most important in life, something he really had an enlightened perspective on.  Even though this was a time that saw his health decline, we still carried on with our work and our conversations, laughing often, as if there wasn’t this giant stop sign ahead.  That was a really magical time for me, and I feel like Jacques helped me grow a lot.  I also believe that this experience helped keep Jacques’s spirits up as his health continued on its decline.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Jacques and I spoke many times about how we felt that every kid should get an opportunity to be educated and to pursue their interests, regardless of a family’s economic circumstances.  Jacques also believed that it was up to those who had more to contribute more, and when he was strong enough, he lived by those ideals – just ask the kids he worked with and taught.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Soon after he died in 2017, I proudly established the scholarship fund for Extra Ed in his name.  One of the easiest choices I have ever made.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Yakos Spiliotopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,/economic-inclusivity/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Title,Economic inclusivity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"We are committed to the principle that no student’s economic circumstances should exclude them from our programs. Since our inception, we have prioritized inclusion over profit, focusing on nurturing our students' potential rather than maximizing our financial gain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"We proudly give parents the option to pay less than the asking price, or even nothing, for our programs, and still have their children participate. Our hope is to instill a sense of belonging in our students while giving relief to those in our community facing economic challenges (such as those on parental leave and newcomers to Canada).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Over 12,500 registrants have used this option over the years, a number we believe will grow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"We acknowledge that no system is perfect. This policy has had an impact on our bottom line, and the increased use of this payment option (particularly since COVID lockdowns lifted) has meant our program operating costs have risen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Despite this, we believe in this policy. It represents one of our core values [link: about us], and has earned us some recognition in the press [link: in the news]. It has also caught the attention of CIBC Private Wealth [link: https://www.cibc.com/en/private-wealth/about-us.html], who stepped up to support us in the spring of 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,"With this policy, we’ve been able to:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,✅ Support families that can’t afford to pay full price for our programs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,✅ Contribute more to our Tree Program [link: sustainability] by planting a tree with every registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,✅ Providing a living wage for our passionate instructors and administrative team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"✅ Provide a more vibrant, diverse experience for our program’s students.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"We want to keep this momentum of goodwill and generosity going. Our message to parents, whether they pay the full price, pay a portion, or pay nothing at all, is simply thank you—for believing in our team, our programs, and our kids!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Highlights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"As of 2026, students from 95% of our participant schools have utilized the option of paying less than the full price of our programs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"During the past three years alone, over 12,000 participants have paid less than our asking price, bringing program costs within their economic means. During that same timeframe over 2,200 participants have paid nothing at all—participants who most certainly would not have been able to take part in our programs otherwise.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,In recent years the number of families requiring support has been sharply on the rise. Enrolments at a subsidized rate have climbed from 24% in 2022 to 36% in 2026.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,What Else Has This Pay Policy Made Possible?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Subsidized In-Class Enrichment programs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Unlike our clubs, our in-class programming is paid for out of school budgets. While this provides financial relief for individual participants, there are institutions whose budgets don’t allow for extracurricular programming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"To help students in these schools get their fair share of extra education, we’ve reduced our rates. To date, we have subsidized over $125,000 in programming in 47 different institutions, enabling more than 5,700 students to enjoy our programming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"In the past year alone we were able to subsidize over 16% of our programs fees, targeting schools that required discounts to run our programs. As a result, over 1,200 students were able to take part in some of our most popular programs, like chess[link], financial literacy[link], and robotics[link].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,You can pay more!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"In 2023, we received feedback from parents wanting to help: is there an option to pay more? 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"In response, we introduced a “pay more” option* for registrants to pay above our typical asking price. To extend programming to as many families as possible, 100% of these funds  are allocated to participants in schools where programs are in jeopardy of not running. To date, hundreds of children have been included in programs that would not have run otherwise as a result.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"*Please note that tax receipts are not available for these “pay more” contributions. If you require tax receipts please contribute through Extra Ed’s own charitable entity, which does provide them. Visit our donate [link] page to learn more about this fund.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,/about-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Title,About us.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Extra Ed is a social enterprise which provides a variety of programs to schools, organizations and communities across the Greater Toronto Area. These programs are delivered by a team of dedicated instructors from curriculum developed by educators and subject experts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"With a focus on providing high-quality, impactful programs, we offer a diverse range of extracurricular and in-class activities that teach essential life skills in meaningful and memorable ways.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,We are an approved vendor to multiple school boards and an Educational Partner of the Toronto District School Board (TDSB) [link to ‘TDSB partnership programs’ page].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section Title,OUR VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 1 Title,We extend education beyond the classroom.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 1,"We know that learning doesn’t stop when the bell rings. In fact, we believe that the hours outside of the classroom hold the potential to be just as vital to the development of young minds and bodies—and that’s where we come in. With programs designed to compliment a curriculum-based education we specialize in delivering educational experiences that foster growth and lifelong love of learning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 2 Title,We teach mastery of life skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 2,"There’s a lot to learn out there. Our programs feature the arts, financial literacy, athletics, chess, performance, STEM, and much more—all subjects designed to enrich a young person’s experience and help them build the essential life skills to grow into fully-rounded, confident individuals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 3 Title,We embrace community and inclusivity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 3 Title,"We see it as our responsibility to reflect the values of each community we serve with an inclusive and welcoming mindset. Our staff of instructors is just as diverse and varied as our participants, and we delight in contributing to community events to connect with the populations we work alongside. All of which is to say: at Extra Ed, everyone is welcome.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 4 Title,We protect the environment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 4 Title,"From the outset, Extra Ed has been dedicated to the protection and restoration of our environment. We play an active role in teaching sustainable practices, engaging in park restoration, and, most notably, planting trees for each individual enrolment in our programs. For more further information on our initiatives please visit our sustainability page. [link to sustainability]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 5 Title,We have fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurb 5 Title,"It sounds simple, but doing what we do with a sense of fun is important to us. Be it in a relaxing LEGO club at the end of a tiring school day or in an in-class financial literacy lesson about a complicated subject like investment savings, approaching what we do with that sense of fun makes our programming compelling, our lessons memorable, and adds something extra to our participants’ days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Economic inclusivity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"We are committed to the principle that no student be excluded from our programs due to their family’s economic circumstances. As an organization, we have prioritized inclusion over profit, as we believe that every child deserves an equal opportunity for extra education.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,For families to whom program costs are a burden we are proud to offer our club registration with the option to pay less than the asking price (or even nothing at all) with no questions asked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"To date, we have proudly subsidized fees for over 10,000 participants in our programs, extending their opportunities for inclusion, education and fun.  Learn more> [link to Economic inclusivity page]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Working together with Extra Ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Schools are busy, we get that. As approved service providers to multiple Ontario school boards, we not only maintain a high standard of thoughtful and rewarding course delivery, but we make it an utmost priority to place no undue administrative requirements on our school partners while we operate programs in their facilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Our goal is simplicity. That means: programs which are straightforward to implement and low-maintenance to operate; clear, organized, and timely communication; and listening carefully to teachers and school administration, as we craft programs that fit their specific needs and schedules. From staff to supplies to attendance to parent communication, we take care of everything.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Our history.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heading (blue),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Prior to founding Extra Ed, Yakos Spiliotopoulos was eagerly preparing to be a new father. Looking ahead to his child's education, he noticed that there was a lack of financial learning available to young people. This was a problem he knew he could tackle, and so, after the arrival of his son he took it upon himself to create a school-aged financial literacy program and thus, Extra Ed was also born.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heading (blue),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"In short order Yakos brought this program to several elementary, middle, and high schools in the Greater Toronto Area (GTA). Working closely with a number of private schools in Toronto, Extra Ed developed several new courses. Chess clubs and new in-class financial programs were also introduced–to a very positive response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heading (blue),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Extra Ed took another leap forward when they became an official TDSB Educational Partner. Now able to deliver financial literacy programs as in-class enrichment across board schools—and continuing to expand their extracurricular programs—Extra Ed’s team of instructors grew to over 20 dedicated subject experts and educators.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heading (blue),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"Branching out, once again, Extra Ed introduced new programs to their extracurricular catalogue, among them our now-perennial favourites Robotics and LEGO. This paved the way for the broad range of fun and engaging subjects which make up our diverse slate of offerings to this day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heading (blue),2020 to 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
